Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
6c0c3176		Kinetic Text Tags Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/kinetic_text_tags.rpy	1	"[what]"
8689f4cd		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! Really hope this can help the community create some really neat ways to spice up their dialogue! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Kinetic-Text-Tags itch.io: https://wattson.itch.io/kinetic-text-tags Forum Post: https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=60527&sid=75b4eb1aa5212a33cbfe9b0354e5376b	game/kinetic_text_tags.rpy	1	"[what]"
start_b87e6391	n	The same inky, cloying ache has gripped you again today	game/script.rpy	17	n "[what]"
start_ee34094a	n	It’s worse than usual, you think	game/script.rpy	18	n "[what]"
start_bb2cf764	n	...	game/script.rpy	19	n "[what]"
start_bb2cf764_1	n	...	game/script.rpy	20	n "[what]"
start_516cda8a	n	{sc=3}{i}{color=#bdb999}Have you noticed the world burning around us lately?{/sc}	game/script.rpy	21	n "[what]"
start_b5e4e851	n	You feel the helplessness take hold of you	game/script.rpy	23	n "[what]"
start_f20ea1a2	n	You can’t bear to face it today	game/script.rpy	24	n "[what]"
start_994c280f	n	{fi=[0]-[1]-[7]}{i}{color=#99ffd1}“While the world is full of troubles\nAnd anxious in its sleep.\nCome away, O human child!”{/fi}	game/script.rpy	26	n "[what]"
start_093c8a03	n	The words narrowly emerge in your thoughts, remnant of an Irish poetry anthology you used to frequent	game/script.rpy	28	n "[what]"
start_a15a5b80	n	You hadn’t thought about it in a while	game/script.rpy	30	n "[what]"
start_39782161	n	You hadn’t thought about books in a while	game/script.rpy	31	n "[what]"
start_3459f981	n	There was too much magic in their pages—you’d yearned to be so consumed in it your surroundings fell away for good	game/script.rpy	32	n "[what]"
start_f9fc73b2	n	It’s childish…	game/script.rpy	34	n "[what]"
start_bd01c76d	n	But… it would soothe your ache	game/script.rpy	35	n "[what]"
start_dbc0d497	n	So you think back to the stories and let yourself fantasize for a moment	game/script.rpy	36	n "[what]"
start_86e8558f	n	{fi=[0]-[1]-[5]}{i}{color=#99ffd1}\n\n“To the waters and the wild…”	game/script.rpy	38	n "[what]"
start_879bd0a6	n	\n\nYou drift off before long...	game/script.rpy	40	n "[what]"
start_3caf51bc		You haven’t dreamt in a while… it’s a welcome change.	game/script.rpy	50	"[what]"
start_e4b2e75f		You spot wisteria, just barely visible.	game/script.rpy	51	"[what]"
start_4f22fd74		You admire their grace.	game/script.rpy	52	"[what]"
start_1964dae6		So awed, you nearly forget their nature.	game/script.rpy	53	"[what]"
start_f7158c6c		How the wisteria {i}climb{/i} and {i}twist{/i} and {i}cling{/i} along branches so tightly... {b}they strangle the tree to its death.{/b}	game/script.rpy	54	"[what]"
start_a20cefa7		...	game/script.rpy	55	"[what]"
